Gene,Distance,boxcox-transformed distance,Z,FC,p-value,adjusted p-value
AFTPH,9.13866e-07,-12.597515106201172,4.736238777208886,128.56288,8.452642314203762e-30,2.536637958492549e-26
MT-RNR1,7.536094e-07,-12.755005836486816,4.4062646147874425,87.42651,8.74700433573778e-21,1.3124880005774538e-17
MIR99AHG,6.607042e-07,-12.862220764160156,4.181628181303898,67.19928,2.454037573516726e-16,2.4548555860412316e-13
EIF2B3,5.632001e-07,-12.992064476013184,3.909579978932337,48.82879,2.793097952849733e-12,2.0955217391255122e-09
CX3CR1,5.426961e-07,-13.02217960357666,3.84648284314568,45.338165,1.6578677664285322e-11,9.95052233410405e-09
PRKCH,5.12509e-07,-13.068621635437012,3.7491776205686125,40.434635,2.0330496414938306e-10,1.016863662353831e-07
ATXN2,5.037195e-07,-13.08265209197998,3.719781045051059,39.05962,4.110586447213579e-10,1.762267132583993e-07
FKBP5,4.9271284e-07,-13.100564956665039,3.68225005824123,37.371307,9.764819565318616e-10,3.663027939440146e-07
TET2,4.886541e-07,-13.107270240783691,3.668201164653416,36.75815,1.337305081000606e-09,4.459169497869799e-07
CYB5R4,4.883283e-07,-13.107810974121094,3.667068221592075,36.709145,1.3713464922117967e-09,4.115410823127602e-07
MBD5,4.7138224e-07,-13.136432647705078,3.6071001666415032,34.205578,4.9586620765865235e-09,1.3528131719851053e-06
PLCL2,4.1110133e-07,-13.247178077697754,3.375066634016715,26.016462,3.385184690175612e-07,8.465782712680844e-05
RASSF2,4.0059052e-07,-13.268115997314453,3.331197560098289,24.703121,6.687578373901292e-07,0.0001543801746159829
PBX3,3.5262016e-07,-13.371113777160645,3.1153968836116603,19.141008,1.2140808998769661e-05,0.002602469128950554
ATP9B,3.411363e-07,-13.397819519042969,3.059443083705594,17.91457,2.3104555470104525e-05,0.004622451397718912
APOE,3.3011426e-07,-13.424298286437988,3.0039648401462635,16.775639,4.2069951353810597e-05,0.0078907452507991
RUFY3,3.261445e-07,-13.434048652648926,2.983535898595729,16.374596,5.1977238118817043e-05,0.00917551127026882
PPP1R12B,3.0568e-07,-13.486246109008789,2.87417192579786,14.384162,0.00014905070135276776,0.024850064153314224
MIR646HG,2.8556508e-07,-13.541022300720215,2.7594049934975806,12.553381,0.0003954901009142108,0.06246662067597614
TTC27,2.6941467e-07,-13.587828636169434,2.661336483002643,11.173597,0.000829695981746837,0.12449588206111288
FUBP3,2.603878e-07,-13.615209579467773,2.6039680028718335,10.4373865,0.0012348988213506948,0.17647292204159215
ATF6,2.525476e-07,-13.639761924743652,2.5525259938520257,9.818316,0.0017278242812579139,0.23569093945704545
CLCN3,2.521221e-07,-13.641115188598633,2.5496906389948064,9.785259,0.001759164250679874,0.2295326920126218
CHASERR,2.4669697e-07,-13.658577919006348,2.5131027723348063,9.368675,0.0022072498658629587,0.2759982019772808
B2M,2.4571952e-07,-13.661764144897461,2.506427000257309,9.29458,0.00229832770180706,0.2758912573249195
AOAH,2.444055e-07,-13.666067123413086,2.4974114110284344,9.195439,0.0024261885120793617,0.2800381432596217
LGMN,2.4224346e-07,-13.673197746276855,2.4824713488244683,9.03347,0.002650807990554327,0.29463239924642726
ATE1,2.4132652e-07,-13.676239967346191,2.4760972952694797,8.965213,0.002751686434611954,0.2949218210810884
JUN,2.3134157e-07,-13.710134506225586,2.4050815468688977,8.238685,0.004100683906442765,0.4243500828701634
TLR5,2.2735749e-07,-13.7240629196167,2.3758987718937843,7.9573607,0.004789219968777973,0.4790816375434232
CDK13,2.2589931e-07,-13.729220390319824,2.365092852888963,7.8556175,0.005066304531988725,0.4904509645321989
DTNB,2.2414126e-07,-13.735483169555664,2.351971094363693,7.733821,0.005419594160789752,0.508256314891564
STK38L,2.2342024e-07,-13.738065719604492,2.3465601423176397,7.6841455,0.0055708052525141084,0.5066056534180254
NBEA,2.1493229e-07,-13.769099235534668,2.281538801649022,7.1113787,0.007659617812019556,0.6760739133491379
IL1RAPL1,2.1424064e-07,-13.77168083190918,2.2761298477388796,7.0656843,0.007857429551907288,0.6737184595792506
STX12,2.1417803e-07,-13.771915435791016,2.2756383063048586,7.061555,0.007875561271346055,0.656515538203042
MACROD2,2.0763332e-07,-13.796767234802246,2.223568882609105,6.6365843,0.00999053058837489,0.8103130350192714
RAB3GAP1,2.0758806e-07,-13.796941757202148,2.2232032237374555,6.633691,0.010006771073622163,0.7902715787352661
AXL,2.0185067e-07,-13.819376945495605,2.1761970764393013,6.27207,0.012265577302279163,0.9438204483112761
ELMO1,2.0010908e-07,-13.826311111450195,2.1616686302329304,6.1643047,0.01303535971162393,0.9779778623645854
FAM110B,1.9905517e-07,-13.830536842346191,2.152814890012819,6.0995445,0.013521672910883598,0.9897204976966262
PNISR,1.9539787e-07,-13.845373153686523,2.121729889650762,5.8774667,0.015335871672638494,1.0
PUM2,1.9327459e-07,-13.854111671447754,2.1034209703014324,5.7504263,0.016484656057153314,1.0
COMMD10,1.9316118e-07,-13.854581832885742,2.1024358892974795,5.74368,0.016548086269203784,1.0
CHST11,1.9263281e-07,-13.856772422790527,2.0978461711107053,5.7123003,0.016846450583072718,1.0
EIF2AK4,1.9026899e-07,-13.866645812988281,2.0771594700276963,5.572968,0.018239818141356015,1.0
GSE1,1.8858498e-07,-13.873754501342773,2.0622653649496754,5.4747553,0.01929306170260202,1.0
ITSN2,1.8816017e-07,-13.875556945800781,2.058488888078538,5.450118,0.019567004303310508,1.0
HSPA1B,1.8801707e-07,-13.876165390014648,2.05721407736754,5.441831,0.019660048488037346,1.0
CARF,1.8783379e-07,-13.876945495605469,2.0555796021926245,5.431227,0.019779774484964034,1.0
CSNK1G1,1.866224e-07,-13.88211727142334,2.0447437111491436,5.361398,0.020587261121412247,1.0
ACTB,1.8380334e-07,-13.894283294677734,2.0192534913369204,5.200646,0.022578496650830844,1.0
OSBPL3,1.8311172e-07,-13.897296905517578,2.012939381859251,5.161582,0.023091854457625263,1.0
SSBP2,1.8175623e-07,-13.903234481811523,2.0004989876795145,5.0854473,0.0241274519632994,1.0
RBMS1,1.8002147e-07,-13.910897254943848,1.984443965637403,4.988835,0.025511380976464732,1.0
LEMD3,1.7748893e-07,-13.922215461730957,1.960730088649752,4.8494563,0.027654847856048978,1.0
LDLRAD4,1.746795e-07,-13.934959411621094,1.934028998475672,4.6971498,0.03021268155306178,1.0
ST6GALNAC3,1.7352707e-07,-13.940245628356934,1.9229533311229126,4.6353765,0.031319272569242315,1.0
KCTD12,1.7266353e-07,-13.944229125976562,1.9146071174241073,4.5893564,0.032171091938155906,1.0
CSDE1,1.709755e-07,-13.95207405090332,1.898170451423061,4.5000596,0.03389367207993279,1.0
UBE2E1,1.6813031e-07,-13.965469360351562,1.8701046344220038,4.351536,0.03697558790129985,1.0
RNF150,1.6722583e-07,-13.969775199890137,1.8610830507853973,4.3048425,0.03800401479123927,1.0
LINC02232,1.6461924e-07,-13.982312202453613,1.8348155561039294,4.1716866,0.041104860784274354,1.0
DCAF7,1.6247671e-07,-13.992764472961426,1.8129159865231528,4.063804,0.0438116959447059,1.0
OPHN1,1.6235346e-07,-13.993370056152344,1.811647170219887,4.057641,0.0439718856598408,1.0
LCP2,1.6201629e-07,-13.995028495788574,1.8081724118712583,4.040805,0.04441263532368297,1.0
POU2F1,1.6197441e-07,-13.995234489440918,1.8077408145145568,4.0387163,0.044467634175158234,1.0
STK32B,1.6134248e-07,-13.998353004455566,1.8012069100867156,4.0072646,0.04530459661254599,1.0
CXADR,1.6119822e-07,-13.999067306518555,1.7997103062896354,4.000101,0.04549753502326725,1.0
IER2,1.609483e-07,-14.000304222106934,1.797118724013516,3.9877076,0.04583338102234869,1.0
LAPTM5,1.606282e-07,-14.001893043518066,1.7937898295863652,3.9718616,0.04626659553047104,1.0
TRIM22,1.6018396e-07,-14.004101753234863,1.7891621468172887,3.9499226,0.046873524785624905,1.0
MFSD4B,1.5902508e-07,-14.009893417358398,1.777027467431882,3.892976,0.04848843001432096,1.0
FDFT1,1.5620385e-07,-14.02416706085205,1.7471213672571118,3.756073,0.052616015029494916,1.0
RPL7A,1.551774e-07,-14.029423713684082,1.7361076421175825,3.706871,0.05418888474416106,1.0
IL4R,1.5468596e-07,-14.031952857971191,1.730808585682526,3.6834292,0.0549557120009782,1.0
CDK19,1.5234235e-07,-14.044122695922852,1.7053103733266601,3.5726612,0.05873810889615682,1.0
RAD50,1.522808e-07,-14.04444408416748,1.7046370015247694,3.5697749,0.058840288114986726,1.0
WDFY3,1.5227063e-07,-14.0444974899292,1.7045251059137727,3.5692978,0.05885719549769953,1.0
SRBD1,1.5057206e-07,-14.053438186645508,1.6857925817513841,3.4901116,0.06173642328040135,1.0
RPRD1A,1.5037902e-07,-14.054460525512695,1.6836505800551622,3.4811683,0.06207090401425722,1.0
GTF2F2,1.4971982e-07,-14.057961463928223,1.6763154231271484,3.4507153,0.06322440244750625,1.0
MAP3K1,1.4953874e-07,-14.05892562866211,1.6742953077214764,3.442373,0.06354436208713031,1.0
ETV6,1.4868243e-07,-14.063501358032227,1.6647082516221547,3.4030616,0.06507552852140629,1.0
LRMDA,1.4839647e-07,-14.065034866333008,1.6614952490778216,3.389984,0.0655935899373533,1.0
NDUFAF6,1.482734e-07,-14.065696716308594,1.6601085427558273,3.3843634,0.0658175907327825,1.0
C2CD5,1.4773701e-07,-14.068583488464355,1.6540601853542753,3.3599215,0.06680125452954801,1.0
EEIG2,1.4772658e-07,-14.068639755249023,1.6539422953355467,3.3594472,0.06682049384083744,1.0
SRGN,1.4652655e-07,-14.075138092041016,1.640326997240345,3.3050888,0.0690656141963932,1.0
CDK17,1.4649e-07,-14.075336456298828,1.6399113849709286,3.30344,0.06913495567016752,1.0
MAST2,1.4566695e-07,-14.079824447631836,1.6305081573753872,3.266424,0.07071160797467364,1.0
CHD1,1.4491985e-07,-14.0839204788208,1.621926163639125,3.2330043,0.07216818008605617,1.0
GMDS,1.4406959e-07,-14.088606834411621,1.6121073237741672,3.1951785,0.07385570670985131,1.0
NDUFS4,1.4336466e-07,-14.092513084411621,1.603922959084125,3.1639872,0.07527911663075494,1.0
MAF,1.432071e-07,-14.093388557434082,1.602088670318144,3.1570365,0.07560030417602069,1.0
HCK,1.4316119e-07,-14.093644142150879,1.6015531698940886,3.1550126,0.0756941066977007,1.0
SRGAP1,1.4311246e-07,-14.093914985656738,1.6009856992954625,3.1528652,0.07579376984533258,1.0
HYCC1,1.4297426e-07,-14.094684600830078,1.5993732036155641,3.1467788,0.07607700627758024,1.0
ABR,1.425921e-07,-14.096816062927246,1.5949073698552507,3.1299791,0.07686472422575265,1.0
ATF7IP2,1.4181339e-07,-14.101176261901855,1.585771892471737,3.0958862,0.0784904028944379,1.0
CUL3,1.415214e-07,-14.10281753540039,1.5823331005695,3.0831504,0.0791071590053021,1.0
SERF2,1.4146364e-07,-14.103142738342285,1.5816517362239668,3.0806348,0.07922959542254814,1.0
PTEN,1.4105929e-07,-14.10542106628418,1.5768781895334125,3.0630486,0.08009127188405203,1.0
GRID2,1.4010993e-07,-14.110797882080078,1.5656126992691408,3.0219576,0.0821442526031059,1.0
ADAP2,1.399448e-07,-14.111736297607422,1.5636465335330565,3.0148385,0.08250567524642935,1.0
LARP4B,1.399122e-07,-14.111922264099121,1.5632568970304788,3.0134342,0.08257716974829167,1.0
ARHGAP35,1.3776365e-07,-14.124239921569824,1.5374489736084613,2.9215937,0.08740150371638594,1.0
CDC42SE2,1.3681648e-07,-14.129731178283691,1.5259437070349111,2.881558,0.08959929502623906,1.0
DENND5A,1.3670169e-07,-14.130398750305176,1.5245450118974526,2.8767245,0.08986865889782164,1.0
EPB41,1.3666879e-07,-14.130590438842773,1.5241433865794112,2.87534,0.08994597726362043,1.0
RPS15A,1.3664992e-07,-14.13070011138916,1.5239136009496859,2.8745458,0.089990361041891,1.0
CNOT6L,1.3642016e-07,-14.132039070129395,1.5211082181311264,2.8648877,0.09053202751892435,1.0
PAG1,1.3641737e-07,-14.132055282592773,1.5210742498206453,2.8647707,0.09053861459280681,1.0
MAP3K8,1.3614553e-07,-14.13364315032959,1.517747353529405,2.8533647,0.0911829198462049,1.0
SEMA4D,1.3574027e-07,-14.136014938354492,1.5127779895196065,2.8364027,0.09215030683210097,1.0
TFB1M,1.3565888e-07,-14.136492729187012,1.5117769234283684,2.8330026,0.09234556025096678,1.0
SNX25,1.3527855e-07,-14.138726234436035,1.507097289125615,2.8171399,0.09326245296072237,1.0
CFLAR,1.3518242e-07,-14.139291763305664,1.5059123945305968,2.8131375,0.09349535532839293,1.0
CCM2,1.3393313e-07,-14.146678924560547,1.4904348337666646,2.7613823,0.09656476546771682,1.0
CH25H,1.3303237e-07,-14.152047157287598,1.4791873267255888,2.7243643,0.0988274638916018,1.0
SLC9A9,1.3299655e-07,-14.152261734008789,1.4787377461456914,2.722897,0.0989183305760081,1.0
ATF7,1.329881e-07,-14.152312278747559,1.4786318449424267,2.7225516,0.09893973899712548,1.0
PIK3AP1,1.3265144e-07,-14.154328346252441,1.4744077856273026,2.7087843,0.09979701511191141,1.0
DOCK4,1.325622e-07,-14.154863357543945,1.4732868313814251,2.7051413,0.10002521897404287,1.0
RHEB,1.3237423e-07,-14.15599250793457,1.4709210384632099,2.6974745,0.10050734176205592,1.0
ANKRD17,1.3210723e-07,-14.157598495483398,1.4675561775896673,2.6866043,0.10119526480712952,1.0
PARP8,1.3119418e-07,-14.163114547729492,1.4559989594824398,2.6495962,0.10357620238533861,1.0
DYM,1.3096832e-07,-14.164484977722168,1.453127638178829,2.6404808,0.104172016177558,1.0
KDM5D,1.3059052e-07,-14.16678237915039,1.4483141287700616,2.625269,0.10517468368066711,1.0
MBNL2,1.3028318e-07,-14.168656349182129,1.444387791705625,2.6129267,0.10599597824377284,1.0
GALNT7,1.2972627e-07,-14.172062873840332,1.4372504502327659,2.590636,0.10749716190386664,1.0
ZFR,1.2970001e-07,-14.172224044799805,1.4369127652638654,2.5895872,0.10756836670930305,1.0
HMGN3,1.2969467e-07,-14.172256469726562,1.436844828642903,2.5893738,0.10758286004403572,1.0
CD14,1.2959309e-07,-14.172880172729492,1.4355380477573347,2.5853195,0.10785864111882394,1.0
LINC02798,1.2949884e-07,-14.173458099365234,1.434327177395478,2.5815606,0.10811502206615661,1.0
NEDD9,1.2916391e-07,-14.175518035888672,1.4300112038284636,2.5682237,0.10903009645754935,1.0
ARB2A,1.2908889e-07,-14.175979614257812,1.4290441060477068,2.5652413,0.10923588616528358,1.0
CREB1,1.2901756e-07,-14.176419258117676,1.4281229653928948,2.5624075,0.10943182225239828,1.0
MTPN,1.284403e-07,-14.179985046386719,1.4206519352229565,2.5395288,0.11102791269440544,1.0
MALT1,1.2827843e-07,-14.180987358093262,1.4185518943808584,2.5331316,0.11147877467597056,1.0
CHURC1,1.2790873e-07,-14.183281898498535,1.413744379379823,2.518552,0.1125138530599724,1.0
MAP2K6,1.2761039e-07,-14.185138702392578,1.4098540087617781,2.5068166,0.11335470473244612,1.0
USP48,1.2758301e-07,-14.185309410095215,1.4094963424337708,2.505741,0.11343212827905552,1.0
RBM25,1.2755947e-07,-14.185455322265625,1.4091906276394406,2.5048168,0.11349868493904487,1.0
ITM2B,1.2729761e-07,-14.187089920043945,1.4057658226885783,2.494543,0.1142415279183973,1.0
PSIP1,1.2716491e-07,-14.187918663024902,1.4040294425822193,2.489345,0.1146194122194017,1.0
MTDH,1.2680297e-07,-14.190184593200684,1.3992818716585036,2.475195,0.11565510361776993,1.0
PARAIL,1.2671987e-07,-14.190705299377441,1.398190889451286,2.4719515,0.11589395343449113,1.0
SETX,1.2657192e-07,-14.191634178161621,1.3962447050743083,2.4661827,0.11632011720854546,1.0
SLC1A3,1.2632668e-07,-14.19317626953125,1.3930137193067795,2.4566355,0.11702921881964559,1.0
MEF2A,1.2612625e-07,-14.194437980651855,1.3903701854969832,2.448846,0.11761129724480816,1.0
DAP3,1.260119e-07,-14.195158958435059,1.388859594748528,2.4444075,0.1179444151282483,1.0
NHLRC2,1.2598741e-07,-14.195313453674316,1.388535896731002,2.4434576,0.11801583707562767,1.0
KLF3,1.2573729e-07,-14.196892738342285,1.3852269836629576,2.4337652,0.11874737141203384,1.0
IL1RAP,1.2565054e-07,-14.197442054748535,1.3840760573784205,2.4304082,0.11900190347054192,1.0
SBF2,1.2521667e-07,-14.200190544128418,1.3783174296839134,2.413653,0.1202814004886673,1.0
RPS6,1.2520518e-07,-14.200263977050781,1.378163573218793,2.41321,0.12031543413033499,1.0
DLG1,1.2498462e-07,-14.201664924621582,1.375228311566041,2.4047153,0.12097013052217076,1.0
EPC1,1.2484837e-07,-14.202531814575195,1.373412006023256,2.399475,0.1213759705975873,1.0
ATXN3,1.2469951e-07,-14.20348072052002,1.3714238607921543,2.3937566,0.12182057370698152,1.0
CHD9,1.2463414e-07,-14.203897476196289,1.3705506753991983,2.3912477,0.12201620502356327,1.0
ASMER1,1.2435515e-07,-14.20567798614502,1.3668201556540056,2.3805542,0.12285395645251165,1.0
ATXN7L1,1.2400056e-07,-14.20794677734375,1.362066590322558,2.3669977,0.12392518028781016,1.0
GCFC2,1.2370755e-07,-14.209827423095703,1.3581262663067466,2.3558245,0.12481587968595508,1.0
PIK3R1,1.2358845e-07,-14.210592269897461,1.3565237613064016,2.3512905,0.12517934374814224,1.0
LARP4,1.2349552e-07,-14.211190223693848,1.3552709300904209,2.347756,0.12546350355794256,1.0
P2RY12,1.2317567e-07,-14.213251113891602,1.350952958387496,2.3356102,0.12644543737455527,1.0
SDK1,1.228519e-07,-14.21534252166748,1.34657104633543,2.323348,0.12744545441851687,1.0
TMEM87A,1.2279857e-07,-14.21568775177002,1.345847721135773,2.3213313,0.12761077111314503,1.0
ITPR2,1.2171675e-07,-14.222718238830566,1.3311174632024259,2.280611,0.13100025346195215,1.0
ICE1,1.2161549e-07,-14.223379135131836,1.329732755016342,2.2768178,0.13132107166479426,1.0
CDH23,1.2152981e-07,-14.223938941955566,1.3285598492367876,2.273611,0.1315929689403936,1.0
PPM1B,1.2043995e-07,-14.231095314025879,1.3135658373632342,2.233015,0.13509000728576687,1.0
ZMYND11,1.2037835e-07,-14.231501579284668,1.312714631465295,2.2307312,0.13528980501200738,1.0
XKR6,1.2036165e-07,-14.231612205505371,1.3124828476996593,2.2301126,0.13534398813777535,1.0
RASAL2,1.2031184e-07,-14.231941223144531,1.3117934908104834,2.2282672,0.13550574220116812,1.0
PREP,1.2025957e-07,-14.232285499572754,1.3110721637467369,2.2263315,0.13567564930875053,1.0
INPP4A,1.201192e-07,-14.233213424682617,1.30912797750567,2.221137,0.1361327677034907,1.0
PRKCB,1.200768e-07,-14.23349380493164,1.3085405255479372,2.2195694,0.13627105787910532,1.0
IKZF1,1.2006898e-07,-14.233546257019043,1.3084306280728513,2.21928,0.13629660880742392,1.0
CEP350,1.200292e-07,-14.233809471130371,1.3078791425615106,2.21781,0.1364264667961061,1.0
RPS11,1.2001288e-07,-14.233917236328125,1.3076533532036065,2.217207,0.13647976842925724,1.0
ALOX5,1.1986528e-07,-14.234894752502441,1.3056052638951854,2.2117565,0.1369626504995884,1.0
SH3RF3,1.1977924e-07,-14.235465049743652,1.3044103786206138,2.2085826,0.13724471508925332,1.0
PTPRE,1.1964434e-07,-14.236359596252441,1.3025361271364195,2.2036107,0.13768789467218398,1.0
IRAK3,1.1958764e-07,-14.236736297607422,1.3017468634517109,2.201522,0.13787453633724484,1.0
P2RY6,1.195685e-07,-14.236863136291504,1.301481111375594,2.2008176,0.13793755989486356,1.0
DOP1A,1.1928337e-07,-14.238759994506836,1.2975068190493015,2.1903338,0.1388792114377503,1.0
CPEB2,1.1913162e-07,-14.239770889282227,1.2953887949840075,2.1847644,0.13938239239317968,1.0
LPCAT2,1.19097166e-07,-14.24000072479248,1.2949072442295395,2.1835008,0.13949684038806145,1.0
GRK3,1.1890889e-07,-14.241256713867188,1.2922756992352071,2.1766028,0.1401234593389173,1.0
PCNX2,1.18832276e-07,-14.241768836975098,1.2912027002511857,2.1737988,0.14037908589337744,1.0
LPAR1,1.18439196e-07,-14.244400024414062,1.285689843273689,2.1594412,0.14169620899641172,1.0
FAM13A,1.1793368e-07,-14.247797012329102,1.2785724831599365,2.141047,0.1434039901123065,1.0
SNRNP70,1.17769275e-07,-14.248905181884766,1.2762506492317558,2.1350818,0.14396278537049387,1.0
BLNK,1.17659546e-07,-14.249645233154297,1.2747000957650876,2.131105,0.14433667732888728,1.0
RUNX1,1.1667667e-07,-14.256305694580078,1.2607451145650745,2.095649,0.14771897261411376,1.0
SFMBT2,1.16608234e-07,-14.2567720413208,1.2597680261047643,2.0931914,0.14795670873285127,1.0
ARHGAP22,1.1639838e-07,-14.258201599121094,1.2567728203746928,2.0856643,0.1486875313877925,1.0
ARHGAP18,1.160644e-07,-14.260483741760254,1.2519912811404958,2.0737126,0.14985633938872123,1.0
FRMD4A,1.1589698e-07,-14.261629104614258,1.2495915199117995,2.0677345,0.15044485942348515,1.0
TLR1,1.1589358e-07,-14.261652946472168,1.249541566514033,2.067613,0.15045685689429372,1.0
FCHO2,1.158643e-07,-14.261853218078613,1.2491219579727957,2.0665686,0.15055993856766375,1.0
UGGT2,1.1581626e-07,-14.262182235717773,1.2484326010836198,2.0648553,0.15072923151655754,1.0
KANSL1,1.15802976e-07,-14.262273788452148,1.2482407800361968,2.0643814,0.1507761042709165,1.0
SACM1L,1.1578354e-07,-14.262406349182129,1.247963039144616,2.0636888,0.15084462756791386,1.0
ATP2C1,1.1527047e-07,-14.265932083129883,1.2405759306829252,2.0454395,0.15266289142383468,1.0
BAZ2B,1.151998e-07,-14.266419410705566,1.2395548832325805,2.0429323,0.15291463088625953,1.0
RAB7A,1.1511708e-07,-14.266989707946777,1.2383599979580089,2.0399995,0.15320969808864304,1.0
KCNQ5,1.150351e-07,-14.267555236816406,1.2371751033629905,2.0370948,0.15350257102153822,1.0
CSNK1G3,1.1496306e-07,-14.268052101135254,1.2361340745535394,2.0345442,0.15376026875694956,1.0
FLI1,1.14538544e-07,-14.270989418029785,1.2299798159487227,2.0195465,0.15528551178555355,1.0
ANP32A,1.1449715e-07,-14.271275520324707,1.2293803751755261,2.018087,0.15543486500510145,1.0
GALNT11,1.14312996e-07,-14.272553443908691,1.2267028730552487,2.0116005,0.15610056253096433,1.0
NCKAP1L,1.14225415e-07,-14.273161888122559,1.225428062344251,2.0085192,0.15641793100851958,1.0
KIAA1328,1.13964596e-07,-14.27497673034668,1.221625609706275,1.9993573,0.15736591609000408,1.0
DNMT3A,1.13841445e-07,-14.275835037231445,1.2198272873866856,1.9950386,0.15781504205677047,1.0
ATP8B4,1.13790485e-07,-14.276189804077148,1.2190839808279221,1.9932529,0.1580011780332975,1.0
UBE2R2,1.13696814e-07,-14.276844024658203,1.217713259593213,1.9899726,0.15834374519298575,1.0
TBC1D2B,1.136852e-07,-14.276925086975098,1.2175434180408071,1.9895662,0.1583862436203937,1.0
MBTD1,1.1345032e-07,-14.278566360473633,1.2141046261385704,1.9813534,0.1592479012598053,1.0
C6orf62,1.1339239e-07,-14.278971672058105,1.213255418376542,1.9793305,0.1594609507873752,1.0
SORT1,1.1310375e-07,-14.280994415283203,1.2090173721100432,1.9692668,0.16052571145983652,1.0
KPNB1,1.1310097e-07,-14.281013488769531,1.2089774093918302,1.9691697,0.16053601739327944,1.0
FAM120B,1.12911664e-07,-14.282342910766602,1.2061920079323774,1.9625834,0.1612372953639274,1.0
FEZ2,1.1256936e-07,-14.28475284576416,1.2011427184861527,1.950702,0.16251122879644972,1.0
FAM120A,1.1253737e-07,-14.284977912902832,1.2006711584112382,1.9495933,0.16263068266197417,1.0
MACROH2A1,1.12383105e-07,-14.286067008972168,1.1983892872012702,1.9442521,0.1632075869374409,1.0
KIAA0930,1.1226136e-07,-14.286927223205566,1.1965869686098598,1.940042,0.16366397183092712,1.0
GNAQ,1.1224499e-07,-14.287042617797852,1.1963451941646706,1.9394761,0.16372542611643104,1.0
SERINC5,1.1201148e-07,-14.288695335388184,1.1928824246315057,1.9314148,0.16460373709837686,1.0
RBM26,1.1199039e-07,-14.28884506225586,1.1925687172935329,1.9306877,0.16468323042192218,1.0
AKAP7,1.11955e-07,-14.289095878601074,1.1920432075490308,1.9294677,0.16481669535182386,1.0
NCKAP5,1.1181456e-07,-14.290091514587402,1.1899571536583071,1.9246298,0.16534717038339303,1.0
LY75,1.1140895e-07,-14.292975425720215,1.183914790664487,1.910692,0.1668864130478317,1.0
TMEM161B-DT,1.11203065e-07,-14.294443130493164,1.1808396594979893,1.9036365,0.1676718481564562,1.0
ZBTB20,1.1089887e-07,-14.296616554260254,1.1762859077576069,1.8932358,0.1688374062319496,1.0
TCF12,1.10878396e-07,-14.296762466430664,1.1759801929632767,1.8925371,0.16891603736591404,1.0
HMBOX1,1.1087417e-07,-14.296792984008789,1.1759162526141358,1.8923928,0.16893228936722993,1.0
CAMTA1,1.10795874e-07,-14.297353744506836,1.1747413486986709,1.889721,0.16923338938966592,1.0
RPL38,1.1054455e-07,-14.299155235290527,1.170966869963444,1.8811575,0.1702026466417102,1.0
MARCHF3,1.10513795e-07,-14.299375534057617,1.1705053005680826,1.880111,0.1703215347783626,1.0
ERP44,1.1040375e-07,-14.300166130065918,1.1688488458981499,1.8763685,0.17074746348410486,1.0
GPCPD1,1.1038921e-07,-14.300271034240723,1.1686290509479778,1.8758744,0.17080379087420416,1.0
STX18,1.10276645e-07,-14.301079750061035,1.1669346316957425,1.8720506,0.17124040152110986,1.0
ARL15,1.1000556e-07,-14.303032875061035,1.1628424493507215,1.862858,0.17229530160896647,1.0
EGLN1,1.0998991e-07,-14.303145408630371,1.1626066693132642,1.8623283,0.172356322458175,1.0
MVB12B,1.0977753e-07,-14.304678916931152,1.1593936667689313,1.8551432,0.17318639395089008,1.0
SEC14L1,1.0974548e-07,-14.304910659790039,1.1589081197426423,1.8540599,0.1733119373220519,1.0
LRRC4C,1.0968127e-07,-14.305375099182129,1.1579350275541533,1.851891,0.17356361521358962,1.0
NUP214,1.0964545e-07,-14.305633544921875,1.157393532722366,1.8506817,0.17370413378093721,1.0
PHF21A,1.0936136e-07,-14.30769157409668,1.153081555427173,1.8411039,0.17482161718761022,1.0
NFIA,1.09310676e-07,-14.308059692382812,1.1523102749656602,1.8393978,0.17502154656986918,1.0
RALGAPA2,1.09170045e-07,-14.309081077575684,1.1501702714053488,1.834668,0.17557717345375662,1.0
RIC1,1.0908323e-07,-14.309711456298828,1.1488495035684059,1.8317512,0.17592083922001225,1.0
RAB33B-AS1,1.0891761e-07,-14.310916900634766,1.1463238597773384,1.8261932,0.176577846659911,1.0
FBXW8,1.08887214e-07,-14.311138153076172,1.1458602922460663,1.825174,0.17669863677156045,1.0
PIK3CA,1.0879426e-07,-14.31181526184082,1.1444416157495014,1.8220592,0.17706836534610068,1.0
WNK1,1.0853417e-07,-14.313714027404785,1.1404633271513878,1.8133576,0.17810597952393997,1.0
CAMK2D,1.08511756e-07,-14.313878059387207,1.1401196477747553,1.8126088,0.17819559185444567,1.0
CHSY3,1.0824509e-07,-14.315829277038574,1.1360314617015554,1.8037108,0.17926452166797624,1.0
GBE1,1.0788595e-07,-14.318465232849121,1.1305086140445055,1.791762,0.18071162880076472,1.0
SLC25A13,1.07787486e-07,-14.319189071655273,1.1289920288883186,1.7884928,0.18110990826910234,1.0
PALD1,1.0774187e-07,-14.319524765014648,1.128288685047768,1.7869793,0.181294636579688,1.0
TRIP12,1.0767471e-07,-14.320019721984863,1.1272516525101384,1.7847522,0.18156685867100614,1.0
SLC39A10,1.07567544e-07,-14.320809364318848,1.1255971959761162,1.7812014,0.18200187520601424,1.0
SIPA1L2,1.0744521e-07,-14.321711540222168,1.1237069594046367,1.7771522,0.18249941143199938,1.0
